,Unnamed: 0,Date,AveragePrice,Total Volume,TotalBags,SmallBags
10950,4,2015-11-29,1.82,23344.7,7041.34,4404.5
10951,5,2015-11-22,1.69,28577.15,10756.14,5955.98
10952,6,2015-11-15,1.68,30958.65,12506.15,7356.62
10953,7,2015-11-08,1.73,32097.19,12746.79,8602.73
10954,8,2015-11-01,1.55,34437.74,16819.08,8910.32
10955,9,2015-10-25,1.64,30717.28,13598.48,7405.56
10956,10,2015-10-18,1.68,31802.25,13314.34,6944.31
10957,11,2015-10-11,1.82,28422.94,10166.36,6460.34
10958,12,2015-10-04,1.76,30507.45,12931.35,8437.2
10959,13,2015-09-27,1.85,28183.63,10976.6,8593.72
10960,14,2015-09-20,1.85,30393.35,11317.59,8824.73
10961,15,2015-09-13,1.87,29440.58,10174.49,8144.24
10962,16,2015-09-06,1.91,30307.58,9442.33,7806.44
10963,17,2015-08-30,1.9,34522.02,12219.03,9923.77
10964,18,2015-08-23,1.92,31850.38,10121.14,8311.71
10965,19,2015-08-16,1.88,32159.33,11249.23,9695.15
10966,20,2015-08-09,1.87,34667.31,12307.43,10591.35
10967,21,2015-08-02,1.84,32696.45,12449.35,10259.64
10968,22,2015-07-26,1.84,27102.7,9086.48,7498.39
10969,23,2015-07-19,1.85,28602.01,8928.59,6599.43
10970,24,2015-07-12,1.89,34274.47,8613.01,5262.78
10971,25,2015-07-05,1.92,40423.05,9897.56,7044.08
10972,26,2015-06-28,1.93,33557.37,8150.89,6061.76
10973,27,2015-06-21,1.88,37004.14,9378.46,7204.04
10974,28,2015-06-14,1.79,33795.51,8122.43,5857.07
10975,29,2015-06-07,1.9,30028.0,8623.22,6108.64
10976,30,2015-05-31,1.93,31775.42,9425.09,7198.51
10977,31,2015-05-24,1.92,31193.34,8724.13,6649.48
10978,32,2015-05-17,1.93,30302.51,8455.72,6285.96
10979,33,2015-05-10,1.85,32022.52,11117.29,8533.47
10980,34,2015-05-03,1.92,27541.24,7167.68,5360.43
10981,35,2015-04-26,1.93,30001.14,9659.29,7742.3
10982,36,2015-04-19,1.9,29227.44,9846.14,8530.66
10983,37,2015-04-12,1.82,31363.93,11088.64,8861.94
10984,38,2015-04-05,1.81,36535.72,14304.66,12419.92
10985,39,2015-03-29,1.85,34062.08,12733.28,12479.89
10986,40,2015-03-22,1.8,34244.34,11279.72,10549.2
10987,41,2015-03-15,1.67,36469.37,17619.41,15944.5
10988,42,2015-03-08,1.68,33434.23,17343.94,15943.23
10989,43,2015-03-01,1.7,36993.47,14453.03,13506.71
10990,44,2015-02-22,1.66,40390.21,17509.92,16731.6
10991,45,2015-02-15,1.68,39967.69,15705.3,14480.47
10992,46,2015-02-08,1.54,46329.16,15402.85,14104.27
10993,47,2015-02-01,1.67,30193.16,11757.26,9989.22
10994,48,2015-01-25,1.8,30207.8,11466.35,10403.58
10995,49,2015-01-18,1.8,29669.53,9818.59,8577.16
10996,50,2015-01-11,1.68,37617.95,15692.82,13774.1
10997,51,2015-01-04,1.69,34190.37,15338.27,13793.22
10998,0,2015-12-27,1.24,27118.17,15009.02,6705.83
10999,1,2015-12-20,1.21,25645.44,15575.19,5902.85
11000,2,2015-12-13,0.93,67512.97,45283.3,21656.83
11001,3,2015-12-06,1.66,12668.99,3523.26,7.43
11002,4,2015-11-29,1.38,20992.27,10697.83,55.39
11003,5,2015-11-22,1.12,57410.08,34459.79,81.41
11004,6,2015-11-15,1.8,12928.53,2569.22,110.0
11005,7,2015-11-08,1.39,22300.6,7823.81,1115.81
11006,8,2015-11-01,0.98,62592.4,39400.57,7849.49
11007,9,2015-10-25,1.74,16496.39,6283.07,36.85
11008,10,2015-10-18,1.78,17590.21,4761.09,7.37
11009,11,2015-10-11,1.68,26547.99,9958.64,14.73
11010,12,2015-10-04,1.57,35183.28,11049.78,18.38
11011,13,2015-09-27,1.72,18034.01,6459.62,0.0
11012,14,2015-09-20,1.76,18014.56,6906.73,0.0
11013,15,2015-09-13,2.07,17959.18,4251.04,7.34
11014,16,2015-09-06,2.16,18433.15,3166.8,0.0
11015,17,2015-08-30,1.37,50198.43,11546.54,0.0
11016,18,2015-08-23,2.21,17148.39,1225.99,0.0
11017,19,2015-08-16,1.73,30519.41,6777.52,0.0
11018,20,2015-08-09,2.02,18149.27,2426.6,0.0
11019,21,2015-08-02,1.94,18054.18,837.3,0.0
11020,22,2015-07-26,1.96,23093.97,1579.17,0.0
11021,23,2015-07-19,1.37,55813.66,9049.81,0.0
11022,24,2015-07-12,1.82,24707.16,2684.18,0.0
11023,25,2015-07-05,1.93,24954.8,1085.06,0.0
11024,26,2015-06-28,1.53,41116.32,0.0,0.0
11025,27,2015-06-21,1.53,32394.98,699.7,0.0
11026,28,2015-06-14,1.91,24034.25,1396.81,0.0
11027,29,2015-06-07,1.96,26864.42,608.92,0.0
11028,30,2015-05-31,1.5,41728.28,81.34,0.0
11029,31,2015-05-24,1.82,22950.59,792.13,0.0
11030,32,2015-05-17,1.68,30795.99,2985.09,0.0
11031,33,2015-05-10,1.64,26757.91,3772.97,0.0
11032,34,2015-05-03,1.54,26104.52,5550.6,0.0
11033,35,2015-04-26,1.27,40141.38,10465.87,0.0
11034,36,2015-04-19,1.57,28675.93,3108.03,0.0
11035,37,2015-04-12,1.32,63498.04,13324.04,0.0
11036,38,2015-04-05,1.76,27428.43,608.57,0.0
11037,39,2015-03-29,1.45,59406.24,4955.97,3.06
11038,40,2015-03-22,1.29,62866.23,6487.6,12.08
11039,41,2015-03-15,1.61,25244.87,2144.12,0.0
11040,42,2015-03-08,1.45,60658.97,1019.63,0.0
11041,43,2015-03-01,1.32,30280.67,500.73,0.0
11042,44,2015-02-22,1.38,28687.98,1356.19,3.33
11043,45,2015-02-15,1.51,25692.22,3887.23,180.0
11044,46,2015-02-08,1.23,57669.71,8980.94,710.0
11045,47,2015-02-01,1.2,39672.8,6568.55,540.0
11046,48,2015-01-25,1.35,30862.91,4274.07,540.0
11047,49,2015-01-18,1.24,51904.44,9926.86,303.33
11048,50,2015-01-11,1.22,43116.44,4477.36,480.0
11049,51,2015-01-04,1.28,32927.82,3658.63,613.33
11050,0,2015-12-27,1.74,3905.44,1275.33,1116.34
11051,1,2015-12-20,1.77,4400.55,1350.0,1350.0
11052,2,2015-12-13,1.81,3270.51,617.35,570.0
11053,3,2015-12-06,1.82,3494.91,831.76,798.35
11054,4,2015-11-29,1.78,3817.84,1322.84,1172.56
11055,5,2015-11-22,1.79,4163.25,1325.78,1302.93
11056,6,2015-11-15,1.77,4301.53,1695.22,1567.31
11057,7,2015-11-08,1.75,4292.52,1524.54,1357.91
11058,8,2015-11-01,1.65,5676.99,2643.2,2156.74
11059,9,2015-10-25,1.78,5657.77,2150.49,2102.2
