,Unnamed: 0,Date,AveragePrice,Total Volume,TotalBags,SmallBags
3650,10,2016-10-16,1.49,205728.4,66008.31,65296.73
3651,11,2016-10-09,1.42,219089.52,64373.6,63388.04
3652,12,2016-10-02,1.4,214726.86,65590.81,64688.8
3653,13,2016-09-25,1.37,222019.37,64379.9,63530.59
3654,14,2016-09-18,1.26,220697.92,71325.14,69128.89
3655,15,2016-09-11,1.19,272611.45,61107.24,59029.37
3656,16,2016-09-04,1.15,311176.62,120786.61,119477.01
3657,17,2016-08-28,1.32,269377.79,108100.57,102788.68
3658,18,2016-08-21,1.28,258309.18,97000.58,85855.55
3659,19,2016-08-14,1.22,272099.07,107305.64,98315.72
3660,20,2016-08-07,1.24,267082.86,101241.8,96274.55
3661,21,2016-07-31,1.37,253671.67,94994.24,90147.67
3662,22,2016-07-24,1.36,247275.14,101255.72,92482.57
3663,23,2016-07-17,1.25,249117.51,112738.18,100384.09
3664,24,2016-07-10,1.21,274783.17,112251.11,102165.03
3665,25,2016-07-03,1.23,287688.42,115591.23,103961.69
3666,26,2016-06-26,1.24,277479.27,97171.9,91756.81
3667,27,2016-06-19,1.26,267235.79,93170.5,86477.48
3668,28,2016-06-12,1.24,250231.06,92425.75,85233.81
3669,29,2016-06-05,1.23,267225.88,91455.49,84588.68
3670,30,2016-05-29,1.13,280015.07,92686.93,79281.93
3671,31,2016-05-22,1.12,257598.79,91872.63,90017.38
3672,32,2016-05-15,1.08,270638.76,76009.89,73289.96
3673,33,2016-05-08,0.91,373544.69,78507.39,77855.49
3674,34,2016-05-01,0.99,316410.59,78326.05,76346.78
3675,35,2016-04-24,1.09,283535.19,75437.83,74325.2
3676,36,2016-04-17,1.05,257743.57,79429.48,76854.18
3677,37,2016-04-10,1.05,237139.23,78283.15,75903.63
3678,38,2016-04-03,1.13,186673.69,61382.8,59419.89
3679,39,2016-03-27,1.15,247389.76,75834.54,74484.74
3680,40,2016-03-20,1.08,269456.81,74306.21,72833.96
3681,41,2016-03-13,1.13,256785.76,73032.11,71738.99
3682,42,2016-03-06,1.17,240849.91,69935.93,68304.7
3683,43,2016-02-28,1.11,254954.35,60440.36,58909.86
3684,44,2016-02-21,1.15,235440.15,64997.58,62779.7
3685,45,2016-02-14,1.09,264904.19,69359.98,67077.95
3686,46,2016-02-07,1.1,310166.32,80618.37,78497.61
3687,47,2016-01-31,1.07,240911.84,69045.68,67727.22
3688,48,2016-01-24,1.13,269859.91,93696.14,92434.99
3689,49,2016-01-17,1.15,251772.19,86488.92,85284.0
3690,50,2016-01-10,1.14,231258.4,78850.36,77645.09
3691,51,2016-01-03,1.09,252693.38,58167.44,57475.61
3692,0,2016-12-25,1.49,238100.22,48259.12,47076.21
3693,1,2016-12-18,1.22,304051.46,41940.59,41573.47
3694,2,2016-12-11,1.42,245721.9,53094.75,51964.82
3695,3,2016-12-04,1.54,207482.67,43218.24,42957.73
3696,4,2016-11-27,1.57,195221.04,41418.03,41408.89
3697,5,2016-11-20,1.62,240655.78,67686.75,66362.72
3698,6,2016-11-13,1.82,184928.64,52579.04,52391.67
3699,7,2016-11-06,1.83,173620.97,50726.05,50160.37
3700,8,2016-10-30,1.81,180113.35,46220.84,46140.97
3701,9,2016-10-23,1.78,213547.17,56247.72,56074.0
3702,10,2016-10-16,1.82,208966.36,56119.98,56021.42
3703,11,2016-10-09,1.62,231063.21,51832.62,51617.66
3704,12,2016-10-02,1.69,216818.99,52783.17,52592.82
3705,13,2016-09-25,1.63,224391.93,55991.24,55353.12
3706,14,2016-09-18,1.51,233869.17,65691.13,64310.17
3707,15,2016-09-11,1.22,364052.46,53304.78,52152.39
3708,16,2016-09-04,1.54,279628.17,68240.75,67173.12
3709,17,2016-08-28,1.59,287629.57,74844.92,72124.66
3710,18,2016-08-21,1.46,299545.98,105685.77,100062.77
3711,19,2016-08-14,1.46,298015.34,104086.55,100492.24
3712,20,2016-08-07,1.5,288155.59,99700.74,99391.55
3713,21,2016-07-31,1.72,255025.51,80084.59,78539.51
3714,22,2016-07-24,1.7,254686.05,85589.94,82571.93
3715,23,2016-07-17,1.63,259416.65,82558.24,78534.0
3716,24,2016-07-10,1.46,292611.92,96138.34,90776.29
3717,25,2016-07-03,1.47,309896.68,92579.16,88150.04
3718,26,2016-06-26,1.41,329620.35,80495.2,77811.88
3719,27,2016-06-19,1.5,335704.35,76990.56,73922.77
3720,28,2016-06-12,1.47,324963.11,74442.81,71188.11
3721,29,2016-06-05,1.46,303118.06,78652.13,75889.33
3722,30,2016-05-29,1.15,382443.83,66209.36,63033.05
3723,31,2016-05-22,1.26,296893.56,68408.08,66397.8
3724,32,2016-05-15,1.24,416264.79,56518.77,55425.49
3725,33,2016-05-08,0.86,522565.33,66469.99,64704.02
3726,34,2016-05-01,1.18,353240.26,61878.11,59813.16
3727,35,2016-04-24,1.25,342796.24,60644.11,59633.06
3728,36,2016-04-17,1.18,284479.69,67762.86,66917.18
3729,37,2016-04-10,1.17,280729.03,62063.31,61560.21
