,Unnamed: 0,Date,AveragePrice,Total Volume,TotalBags,SmallBags
14600,15,2016-09-11,1.52,1103488.85,620344.26,438024.44
14601,16,2016-09-04,1.54,1052088.77,565214.19,415589.66
14602,17,2016-08-28,1.49,948530.88,490770.06,345580.78
14603,18,2016-08-21,1.51,1033169.7,541431.81,458921.84
14604,19,2016-08-14,1.48,1093287.79,554895.6,459261.24
14605,20,2016-08-07,1.55,1012237.01,517928.21,313872.28
14606,21,2016-07-31,1.58,946087.81,451693.09,320652.23
14607,22,2016-07-24,1.65,919489.84,407945.53,329530.26
14608,23,2016-07-17,1.63,1018118.27,495559.97,346531.83
14609,24,2016-07-10,1.51,1043428.53,523152.08,379451.98
14610,25,2016-07-03,1.47,1073595.37,520268.11,350794.25
14611,26,2016-06-26,1.5,1007378.78,438431.87,310467.62
14612,27,2016-06-19,1.45,1071066.66,446835.88,302393.63
14613,28,2016-06-12,1.45,975275.55,386800.81,279246.87
14614,29,2016-06-05,1.43,1012717.93,442343.2,310881.84
14615,30,2016-05-29,1.41,1085152.56,465693.74,349592.45
14616,31,2016-05-22,1.36,1165715.01,527687.39,370815.25
14617,32,2016-05-15,1.45,1023252.17,431509.82,309561.79
14618,33,2016-05-08,1.3,1137940.78,535172.41,319417.49
14619,34,2016-05-01,1.28,1317867.0,572213.62,368709.06
14620,35,2016-04-24,1.25,1475457.53,716828.68,555986.43
14621,36,2016-04-17,1.38,1022217.32,511101.39,352484.76
14622,37,2016-04-10,1.26,1179603.03,658419.11,368458.82
14623,38,2016-04-03,1.44,930722.39,430964.21,289504.38
14624,39,2016-03-27,1.44,900644.79,442091.61,263938.32
14625,40,2016-03-20,1.27,1045450.41,578257.49,252881.52
14626,41,2016-03-13,1.29,1023655.87,538564.72,282353.48
14627,42,2016-03-06,1.28,1012415.85,527581.12,309561.6
14628,43,2016-02-28,1.44,845011.63,376979.06,277995.45
14629,44,2016-02-21,1.45,738856.92,344903.06,223281.18
14630,45,2016-02-14,1.37,852463.31,436374.3,201936.87
14631,46,2016-02-07,1.44,758795.1,358544.02,210519.67
14632,47,2016-01-31,1.43,772077.2,387944.56,204288.83
14633,48,2016-01-24,1.41,776964.55,393733.01,204859.71
14634,49,2016-01-17,1.44,695341.42,299417.6,150719.73
14635,50,2016-01-10,1.35,828670.59,418440.98,183115.43
14636,51,2016-01-03,1.43,704100.5,324970.52,150967.35
14637,0,2016-12-25,0.91,318683.18,250754.74,58951.54
14638,1,2016-12-18,1.23,173890.1,111968.71,27269.38
14639,2,2016-12-11,1.34,163585.07,99570.68,24023.81
14640,3,2016-12-04,1.31,202181.56,136059.85,20438.49
14641,4,2016-11-27,1.52,168440.43,107735.97,31027.16
14642,5,2016-11-20,1.66,171623.92,99093.88,27888.84
14643,6,2016-11-13,1.81,160864.58,81102.19,34945.74
14644,7,2016-11-06,1.84,140457.87,64206.54,14689.35
14645,8,2016-10-30,2.16,96943.41,14563.71,11572.83
14646,9,2016-10-23,1.92,101890.97,29829.47,15072.18
14647,10,2016-10-16,1.56,152876.61,92070.39,25657.03
14648,11,2016-10-09,1.68,126192.84,62004.71,29570.26
14649,12,2016-10-02,1.59,139393.05,77999.92,20453.89
14650,13,2016-09-25,1.78,118420.15,55919.27,27538.32
14651,14,2016-09-18,1.59,160880.99,91259.27,53282.81
14652,15,2016-09-11,1.48,197265.79,114802.14,46197.11
14653,16,2016-09-04,1.61,177083.68,73778.46,37977.13
14654,17,2016-08-28,1.92,125950.35,31561.26,23214.22
14655,18,2016-08-21,1.82,144812.23,50497.92,31310.25
14656,19,2016-08-14,1.75,176385.1,68820.11,51024.36
14657,20,2016-08-07,1.7,177284.38,74689.37,39122.15
14658,21,2016-07-31,1.65,189615.28,84844.26,29501.17
14659,22,2016-07-24,1.88,168610.5,49787.25,33356.15
14660,23,2016-07-17,1.85,179798.46,47123.71,23318.33
14661,24,2016-07-10,1.54,226554.8,99890.67,60450.95
14662,25,2016-07-03,1.47,245935.09,103121.46,29715.52
14663,26,2016-06-26,1.56,213439.57,54573.81,17817.37
14664,27,2016-06-19,1.49,244706.99,41037.83,17327.6
14665,28,2016-06-12,1.6,183825.41,22310.87,11351.58
14666,29,2016-06-05,1.58,195651.71,25597.9,17579.09
14667,30,2016-05-29,1.37,249655.68,86182.19,52709.61
14668,31,2016-05-22,1.27,321890.92,113975.5,52117.86
14669,32,2016-05-15,1.39,252652.39,59672.85,20447.22
14670,33,2016-05-08,1.08,291268.76,137089.91,20696.46
14671,34,2016-05-01,1.01,509484.65,185683.65,55292.78
14672,35,2016-04-24,1.01,628445.85,270636.88,213637.25
14673,36,2016-04-17,1.31,250678.16,129230.25,64711.23
14674,37,2016-04-10,0.99,405751.04,275813.87,81246.82
14675,38,2016-04-03,1.27,226558.02,113470.06,44860.97
